Date,NAV
2022-11-28,23.53700
2022-11-29,23.54290
2022-11-30,23.58450
2022-12-01,23.61590
2022-12-02,23.60020
2022-12-05,23.59980
2022-12-06,23.56710
2022-12-07,23.54200
2022-12-08,23.55870
2022-12-09,23.55400
2022-12-12,23.54070
2022-12-13,23.57250
2022-12-14,23.63340
2022-12-15,23.58920
2022-12-16,23.46070
2022-12-19,23.48020
2022-12-20,23.47630
2022-12-21,23.40060
2022-12-22,23.35450
2022-12-23,23.24990
2022-12-26,23.36830
2022-12-27,23.40230
2022-12-28,23.42390
2022-12-29,23.41810
2022-12-30,23.44240
2023-01-02,23.46860
2023-01-03,23.47540
2023-01-04,23.43540
2023-01-05,23.38640
2023-01-06,23.35320
2023-01-09,23.39330
2023-01-10,23.35750
2023-01-11,23.32540
2023-01-12,23.35110
2023-01-13,23.37320
2023-01-16,23.35380
2023-01-17,23.38160
2023-01-18,23.38620
2023-01-19,23.40310
2023-01-20,23.39400
2023-01-23,23.42790
2023-01-24,23.42330
2023-01-25,23.36280
2023-01-27,23.27180
2023-01-30,23.27370
2023-01-31,23.36000
2023-02-01,23.41770
2023-02-02,23.43340
2023-02-03,23.47830
2023-02-06,23.49390
2023-02-07,23.47300
2023-02-08,23.52590
2023-02-09,23.54540
2023-02-10,23.58850
2023-02-13,23.51620
2023-02-14,23.51880
2023-02-15,23.54290
2023-02-16,23.60990
2023-02-17,23.59440
2023-02-20,23.57570
2023-02-21,23.56930
2023-02-22,23.50550
2023-02-23,23.49890
2023-02-24,23.49740
2023-02-27,23.47120
2023-02-28,23.46460
2023-03-01,23.53230
2023-03-02,23.52110
2023-03-03,23.55260
2023-03-06,23.61740
2023-03-08,23.64650
2023-03-09,23.60490
2023-03-10,23.55940
2023-03-13,23.46410
2023-03-14,23.42410
2023-03-15,23.43450
2023-03-16,23.43170
2023-03-17,23.52260
2023-03-20,23.46640
2023-03-21,23.51850
2023-03-22,23.55470
2023-03-23,23.56000
2023-03-24,23.49730
2023-03-27,23.40770
2023-03-28,23.40000
2023-03-29,23.49830
2023-03-31,23.67670
2023-04-03,23.67260
2023-04-05,23.73080
2023-04-06,23.81450
2023-04-10,23.80660
2023-04-11,23.86530
2023-04-12,23.89040
2023-04-13,23.86880
2023-04-17,23.84910
2023-04-18,23.86040
2023-04-19,23.86430
2023-04-20,23.87780
2023-04-21,23.87190
2023-04-24,23.95180
2023-04-25,23.97050
2023-04-26,24.01250
2023-04-27,24.07730
2023-04-28,24.19500
2023-05-02,24.26240
2023-05-03,24.25600
2023-05-04,24.37090
2023-05-05,24.35580
2023-05-08,24.41270
2023-05-09,24.41990
2023-05-10,24.42600
2023-05-11,24.47470
2023-05-12,24.50010
2023-05-15,24.51540
2023-05-16,24.58250
2023-05-17,24.60840
2023-05-18,24.54050
2023-05-19,24.57040
2023-05-22,24.61380
2023-05-23,24.57960
2023-05-24,24.58810
2023-05-25,24.64750
2023-05-26,24.74900
2023-05-29,24.74760
2023-05-30,24.78330
2023-05-31,24.83960
2023-06-01,24.90070
2023-06-02,24.91430
2023-06-05,24.95170
2023-06-06,24.92600
2023-06-07,25.01660
2023-06-08,24.95150
2023-06-09,24.95880
2023-06-12,24.99400
2023-06-13,25.07140
2023-06-14,25.05440
2023-06-15,25.09560
2023-06-16,25.16300
2023-06-19,25.13820
2023-06-20,25.14750
2023-06-21,25.17160
2023-06-22,25.10240
2023-06-23,25.05650
2023-06-26,25.06850
2023-06-27,25.15290
2023-06-28,25.21160
2023-06-30,25.33660
2023-07-03,25.32060
2023-07-04,25.31300
2023-07-05,25.33900
2023-07-06,25.38070
2023-07-07,25.32110
2023-07-10,25.29570
2023-07-11,25.35710
2023-07-12,25.44490
2023-07-13,25.41120
2023-07-14,25.48460
2023-07-17,25.50050
2023-07-18,25.50390
2023-07-19,25.56750
2023-07-20,25.55000
2023-07-21,25.50270
2023-07-24,25.50830
2023-07-25,25.51130
2023-07-26,25.54460
2023-07-27,25.49860
2023-07-28,25.49680
2023-07-31,25.58150
2023-08-01,25.57160
2023-08-02,25.51420
2023-08-03,25.42850
2023-08-04,25.49990
2023-08-07,25.50100
2023-08-08,25.49060
2023-08-09,25.53870
2023-08-10,25.56110
2023-08-11,25.54500
2023-08-14,25.48540
2023-08-16,25.52100
2023-08-17,25.50820
2023-08-18,25.51830
2023-08-21,25.56870
2023-08-22,25.65870
2023-08-23,25.73980
2023-08-24,25.75750
2023-08-25,25.68050
2023-08-28,25.72500
2023-08-29,25.73330
2023-08-30,25.80680
2023-08-31,25.86800
2023-09-01,25.93510
2023-09-04,25.96660
2023-09-05,26.03970
2023-09-06,26.08240
2023-09-07,26.18750
2023-09-08,26.27340
2023-09-11,26.30500
2023-09-12,26.07500
2023-09-13,26.05950
2023-09-14,26.14760
2023-09-15,26.16860
2023-09-18,26.10420
2023-09-20,26.11290
2023-09-21,26.03680
2023-09-22,26.02970
2023-09-25,26.10320
2023-09-26,26.11330
2023-09-27,26.19210
2023-09-29,26.23390
2023-10-03,26.31040
2023-10-04,26.19040
2023-10-05,26.25200
2023-10-06,26.31860
2023-10-09,26.25530
2023-10-10,26.39000
2023-10-11,26.44520
2023-10-12,26.42990
2023-10-13,26.41900
2023-10-16,26.42540
2023-10-17,26.45710
2023-10-18,26.38290
2023-10-19,26.37430
2023-10-20,26.33760
2023-10-23,26.02200
2023-10-25,25.88990
2023-10-26,25.82920
2023-10-27,26.00220
2023-10-30,25.98680
2023-10-31,25.95820
2023-11-01,25.97570
2023-11-02,26.04650
2023-11-03,26.12840
2023-11-06,26.19240
2023-11-07,26.23480
2023-11-08,26.34130
2023-11-09,26.34980
2023-11-10,26.38820
2023-11-13,26.44790
2023-11-15,26.61940
2023-11-16,26.69790
2023-11-17,26.71700
2023-11-20,26.79860
2023-11-21,26.77220
2023-11-22,26.78050
2023-11-23,26.77020
2023-11-24,26.74930
2023-11-28,26.77530
2023-11-29,26.81650
2023-11-30,26.91840
2023-12-01,26.95390
2023-12-04,27.10910
2023-12-05,27.13200
2023-12-06,27.10650
2023-12-07,27.05420
2023-12-08,27.05080
2023-12-11,27.10280
2023-12-12,27.13010
2023-12-13,27.19600
2023-12-14,27.42460
2023-12-15,27.47270
2023-12-18,27.50260
2023-12-19,27.45820
2023-12-20,27.21550
2023-12-21,27.31700
2023-12-22,27.42040
2023-12-26,27.41440
2023-12-27,27.41910
2023-12-28,27.39720
2023-12-29,27.43820
2024-01-01,27.41400
2024-01-02,27.34970
2024-01-03,27.39680
2024-01-04,27.49150
2024-01-05,27.54940
2024-01-08,27.48270
2024-01-09,27.51630
2024-01-10,27.55580
2024-01-11,27.53930
2024-01-12,27.64800
2024-01-15,27.72760
2024-01-16,27.62260
2024-01-17,27.56080
2024-01-18,27.52220
2024-01-19,27.63340
2024-01-23,27.54640
2024-01-24,27.70310
2024-01-25,27.81030
2024-01-29,27.86650
2024-01-30,27.84970
2024-01-31,28.04900
2024-02-01,28.03020
2024-02-02,28.10120
2024-02-05,28.14940
2024-02-06,28.20950
2024-02-07,28.24700
2024-02-08,28.26420
2024-02-09,28.15490
2024-02-12,27.94130
2024-02-13,27.99290
2024-02-14,28.01260
2024-02-15,28.13980
2024-02-16,28.18730
2024-02-19,28.23340
2024-02-20,28.22440
2024-02-21,28.32690
2024-02-22,28.36020
2024-02-23,28.47420
2024-02-26,28.52530
2024-02-27,28.59860
2024-02-28,28.42400
2024-02-29,28.50870
2024-03-01,28.66660
2024-03-04,28.77590
2024-03-05,28.69090
2024-03-06,28.50860
2024-03-07,28.60370
2024-03-11,28.42830
2024-03-12,28.22670
2024-03-13,27.77840
2024-03-14,27.89930
2024-03-15,27.91860
2024-03-18,27.92150
2024-03-19,27.86370
2024-03-20,27.88140
2024-03-21,28.20940
2024-03-22,28.31390
2024-03-26,28.39840
2024-03-27,28.53180
2024-03-28,28.60380
2024-03-31,28.60370
2024-04-01,28.74200
2024-04-02,28.83060
2024-04-03,28.92130
2024-04-04,29.10600
2024-04-05,29.26760
2024-04-08,29.26490
2024-04-09,29.26080
2024-04-10,29.31600
2024-04-12,29.26560
2024-04-15,29.20660
