SchemeCode,AMC,SchemeName,ISIN,SchemeType,Category,SubCategory,PlanType,PlanOption,IDCW_Frequency
100027,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,,Open Ended,Income,Income,Other,IDCW,Annual
100028,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,,Open Ended,Income,Income,Other,IDCW,
100029,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Growth,,Open Ended,Income,Income,Other,Growth,
100030,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,,Open Ended,Income,Income,Other,IDCW,Annual
100031,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,,Open Ended,Income,Income,Other,IDCW,
100032,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,,Open Ended,Income,Income,Other,Growth,
100033,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund,INF209K01165,Open Ended,Equity,Large & Mid Cap Fund,Other,Other,
100034,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund,INF209K01157,Open Ended,Equity,Large & Mid Cap Fund,Other,Other,
100035,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Freedom Fund-Plan A (Dividend),,Open Ended,Income,Income,Other,IDCW,
100036,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Freedom Fund-Plan B (Growth),,Open Ended,Income,Income,Other,Growth,
100037,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Medium to Long Term Fund,INF209K01587,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100038,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Medium to Long Term Fund,INF209K01579,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100039,Aditya Birla Sun Life AMC Limited,Birla Income Plus-Institutional (Growth),,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Institutional,Growth,
100040,Aditya Birla Sun Life AMC Limited,Birla Income Plus-Institutional (Dividend),,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Institutional,IDCW,
100041,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,,Open Ended,Debt,Liquid Fund,Other,Other,
100042,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,Open Ended,Debt,Liquid Fund,Retail,Growth,
100043,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,Open Ended,Debt,Liquid Fund,Institutional,Growth,
100044,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,,Open Ended,Debt,Liquid Fund,Other,Other,
100046,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209K01KQ2,Open Ended,Debt,Liquid Fund,Other,Other,
100047,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209K01RU9,Open Ended,Debt,Liquid Fund,Other,Other,
100048,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209KA1LK7,Open Ended,Debt,Liquid Fund,Other,Other,
100049,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,,Open Ended,Income,Income,Institutional,IDCW,Fortnightly
100050,Aditya Birla Sun Life AMC Limited,Birla Cash Plus-Birla Cash Plus (Institutional Premium Weekly Dividend),,Open Ended,Debt,Liquid Fund,Institutional,IDCW,Weekly
100051,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209K01KU4,Open Ended,Debt,Liquid Fund,Other,Other,
100052,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,,Open Ended,Income,Income,Institutional,IDCW,Fortnightly
100053,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,,Open Ended,Income,Income,Institutional,IDCW,Monthly
100054,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,,Open Ended,Income,Income,Regular,IDCW,Quarterly
