SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category,NAV,NAV date
100033,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund,INF209K01165,,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,955.62,09-Sep-2026
100034,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund,INF209K01157,INF209K01CE5,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,139.18,09-Sep-2026
100037,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Medium to Long Term Fund,INF209K01587,INF209K01CY3,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund,13.0761,09-Sep-2026
100038,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Medium to Long Term Fund,INF209K01579,,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund,129.8671,09-Sep-2026
100041,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,,INF209K01KN9,Open Ended Schemes,Debt Scheme - Liquid Fund,108.023,19-Jun-2026
100044,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,,INF209K01KP4,Open Ended Schemes,Debt Scheme - Liquid Fund,163.694,19-Jun-2026
100046,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209K01KQ2,INF209K01SQ5,Open Ended Schemes,Debt Scheme - Liquid Fund,100.1950,09-Sep-2026
100047,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209K01RU9,,Open Ended Schemes,Debt Scheme - Liquid Fund,452.8123,09-Sep-2026
100048,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209KA1LK7,INF209K01KY6,Open Ended Schemes,Debt Scheme - Liquid Fund,108.068,19-Jun-2026
100051,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209K01KU4,INF209KA1LJ9,Open Ended Schemes,Debt Scheme - Liquid Fund,100.2986,09-Sep-2026
100057,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Fund,INF209K01AF6,INF209K01DP9,Open Ended Schemes,Income/Debt Oriented Schemes - Gilt Fund,10.7494,09-Sep-2026
100058,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Fund,INF209K01AC3,INF209K01AD1,Open Ended Schemes,Income/Debt Oriented Schemes - Gilt Fund,81.4784,09-Sep-2026
100063,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life MNC Fund,INF209K01314,INF209K01CL0,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,208.04,09-Sep-2026
100064,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life MNC Fund,INF209K01322,,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,1293.67,09-Sep-2026
100077,DSP Mutual Fund,DSP Medium Term Fund,INF740K01565,INF740K01995,Open Ended Schemes,Income/Debt Oriented Schemes - Medium Term Fund,11.7104,09-Sep-2026
100078,DSP Mutual Fund,DSP Medium Term Fund,INF740K01557,,Open Ended Schemes,Income/Debt Oriented Schemes - Medium Term Fund,86.8622,09-Sep-2026
100079,DSP Mutual Fund,DSP Medium Term Fund,INF740K01573,INF740K01AA1,Open Ended Schemes,Income/Debt Oriented Schemes - Medium Term Fund,11.1955,09-Sep-2026
100080,DSP Mutual Fund,DSP Flexi Cap Fund,INF740K01011,INF740K01029,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,57.4620,09-Sep-2026
100081,DSP Mutual Fund,DSP Aggressive Hybrid Fund,INF740K01318,,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,341.1080,09-Sep-2026
100082,DSP Mutual Fund,DSP Aggressive Hybrid Fund,INF740K01326,INF740K01334,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,25.7490,09-Sep-2026
100084,DSP Mutual Fund,DSP Gilt Fund,INF740K01615,,Open Ended Schemes,Debt Scheme - Gilt Fund,98.6620,09-Sep-2026
100085,DSP Mutual Fund,DSP Gilt Fund,INF740K01607,INF740K01AD5,Open Ended Schemes,Debt Scheme - Gilt Fund,12.7869,09-Sep-2026
100086,DSP Mutual Fund,DSP Gilt Fund,INF740K01623,INF740K01AE3,Open Ended Schemes,Debt Scheme - Gilt Fund,10.7928,09-Sep-2026
100087,DSP Mutual Fund,DSP Money Market Fund,INF740K01714,,Open Ended Schemes,Income/Debt Oriented Schemes - Money Market Fund,56.7755,09-Sep-2026
100088,DSP Mutual Fund,DSP Money Market Fund,INF740K01706,INF740K01AJ2,Open Ended Schemes,Income/Debt Oriented Schemes - Money Market Fund,12.6372,09-Sep-2026
100089,DSP Mutual Fund,DSP Money Market Fund,INF740K01722,INF740K01AK0,Open Ended Schemes,Income/Debt Oriented Schemes - Money Market Fund,11.0409,09-Sep-2026
100119,HDFC Mutual Fund,HDFC Balanced Advantage Fund,INF179K01830,,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,517.318,09-Sep-2026
100120,HDFC Mutual Fund,HDFC Balanced Advantage Fund,INF179K01814,INF179K01822,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,35.632,09-Sep-2026
100123,HDFC Mutual Fund,HDFC Medium to Long Term Fund,INF179K01947,INF179K01954,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund,11.5158,09-Sep-2026
100124,HDFC Mutual Fund,HDFC Medium to Long Term Fund,INF179K01962,,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund,60.578,09-Sep-2026
100174,quant Mutual Fund,Quant ELSS Tax Saver Fund,INF966L01119,,Open Ended Schemes,Equity Scheme - ELSS,56.93,09-Sep-2026
100175,quant Mutual Fund,Quant ELSS Tax Saver Fund,INF966L01135,,Open Ended Schemes,Equity Scheme - ELSS,409.9777,09-Sep-2026
100176,quant Mutual Fund,Quant Small Cap Fund,INF206A01022,INF966L01044,Open Ended Schemes,Equity Scheme - Small Cap Fund,235.1487,09-Sep-2026
100177,quant Mutual Fund,Quant Small Cap Fund,INF966L01AA0,,Open Ended Schemes,Equity Scheme - Small Cap Fund,295.6903,09-Sep-2026
100218,JM Financial Mutual Fund,JM Large Cap Fund,INF192K01585,INF192K01593,Open Ended Schemes,Equity Schemes - Large Cap Fund,29.6137,09-Sep-2026
100219,JM Financial Mutual Fund,JM Large Cap Fund,INF192K01601,,Open Ended Schemes,Equity Schemes - Large Cap Fund,152.5508,09-Sep-2026
100220,JM Financial Mutual Fund,JM Aggressive Hybrid Fund,INF192K01528,INF192K01536,Open Ended Schemes,Hybrid Schemes - Aggressive Hybrid Fund,33.8273,09-Sep-2026
100221,JM Financial Mutual Fund,JM Aggressive Hybrid Fund,INF192K01544,,Open Ended Schemes,Hybrid Schemes - Aggressive Hybrid Fund,120.9455,09-Sep-2026
100222,JM Financial Mutual Fund,JM Medium to Long Term Fund,INF192K01999,INF192K01AA5,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund,21.9755,09-Sep-2026
100223,JM Financial Mutual Fund,JM Medium to Long Term Fund,INF192K01AB3,,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund,64.6328,09-Sep-2026
100233,JM Financial Mutual Fund,JM Liquid Fund,INF192K01841,INF192K01858,Open Ended Schemes,Income/Debt Oriented Schemes - Liquid Fund,11.0053,09-Sep-2026
100234,JM Financial Mutual Fund,JM Liquid Fund,INF192K01882,,Open Ended Schemes,Income/Debt Oriented Schemes - Liquid Fund,76.5641,09-Sep-2026
100244,JM Financial Mutual Fund,JM Liquid Fund,INF192K01866,INF192K01874,Open Ended Schemes,Income/Debt Oriented Schemes - Liquid Fund,43.336,09-Sep-2026
100247,JM Financial Mutual Fund,JM Liquid Fund,INF192K01981,,Open Ended Schemes,Income/Debt Oriented Schemes - Liquid Fund,44.0235,09-Sep-2026
100254,JM Financial Mutual Fund,JM Value Fund,INF137A01037,,Open Ended Schemes,Equity Schemes - Value Fund,96.9184,09-Sep-2026
100264,Kotak Mahindra Mutual Fund,Kotak Gilt Fund,INF174K01FK1,INF174K01FJ3,Open Ended Schemes,Debt Scheme - Gilt Fund,18.961,09-Sep-2026
100265,Kotak Mahindra Mutual Fund,Kotak Gilt Fund,INF174K01FI5,,Open Ended Schemes,Debt Scheme - Gilt Fund,97.0353,09-Sep-2026
100280,Kotak Mahindra Mutual Fund,Kotak Gilt Fund,INF174K01FM7,,Open Ended Schemes,Debt Scheme - Gilt Fund,11.79,09-Sep-2026
