SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category
100027,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,,,Open Ended Schemes,Income
100028,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,,,Open Ended Schemes,Income
100029,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Growth,,,Open Ended Schemes,Income
100030,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,,,Open Ended Schemes,Income
100031,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,,,Open Ended Schemes,Income
100032,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,,,Open Ended Schemes,Income
100033,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Plan - GROWTH,INF209K01165,,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
100034,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Plan - IDCW,INF209K01157,INF209K01CE5,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
100035,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Freedom Fund-Plan A (Dividend),,,Open Ended Schemes,Income
100036,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Freedom Fund-Plan B (Growth),,,Open Ended Schemes,Income
100037,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Medium to Long Term Fund - Regular Plan - Quarterly IDCW,INF209K01587,INF209K01CY3,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund
100038,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Medium to Long Term Fund - Regular Plan - GROWTH,INF209K01579,,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund
100041,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,,INF209K01KN9,Open Ended Schemes,Debt Scheme - Liquid Fund
100042,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,,Open Ended Schemes,Debt Scheme - Liquid Fund
100043,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,,Open Ended Schemes,Debt Scheme - Liquid Fund
100044,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,,INF209K01KP4,Open Ended Schemes,Debt Scheme - Liquid Fund
100046,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund - Regular Plan - Daily IDCW,INF209K01KQ2,INF209K01SQ5,Open Ended Schemes,Debt Scheme - Liquid Fund
100047,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund - Regular Plan - GROWTH,INF209K01RU9,,Open Ended Schemes,Debt Scheme - Liquid Fund
100048,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,INF209KA1LK7,INF209K01KY6,Open Ended Schemes,Debt Scheme - Liquid Fund
100049,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,,,Open Ended Schemes,Income
100051,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund - Regular Plan - Weekly IDCW,INF209K01KU4,INF209KA1LJ9,Open Ended Schemes,Debt Scheme - Liquid Fund
100052,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,,,Open Ended Schemes,Income
100053,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,,,Open Ended Schemes,Income
100054,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,,,Open Ended Schemes,Income
100055,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,,,Open Ended Schemes,Income
100056,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan,,,Open Ended Schemes,Income
100057,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Fund - Regular Plan - Quarterly IDCW,INF209K01AF6,INF209K01DP9,Open Ended Schemes,Income/Debt Oriented Schemes - Gilt Fund
100058,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Fund - Regular Plan - GROWTH,INF209K01AC3,INF209K01AD1,Open Ended Schemes,Income/Debt Oriented Schemes - Gilt Fund
100059,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus-PF Plan (Annual Dividend),,,Open Ended Schemes,Income
100060,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,,,Open Ended Schemes,Income
100061,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,,,Open Ended Schemes,Income
100062,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend),,,Open Ended Schemes,Debt Scheme - Gilt Fund
100063,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life MNC Fund - Regular Plan - IDCW,INF209K01314,INF209K01CL0,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic
100064,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life MNC Fund - Regular Plan - GROWTH,INF209K01322,,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic
100065,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,,,Open Ended Schemes,Income
100066,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,,,Open Ended Schemes,Income
100067,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Tax Plan -Regular - IDCW,,,Open Ended Schemes,Equity Scheme - ELSS
100068,Baroda Mutual Fund,BARODA ELSS 96 - Plan A - IDCW,,,Open Ended Schemes,Equity Scheme - ELSS
100069,Baroda Pioneer Mutual Fund,BARODA PIONEER DIVERSIFIED FUND,,,Open Ended Schemes,Income
100077,DSP Mutual Fund,DSP Medium Term Fund - Regular Plan - IDCW,INF740K01565,INF740K01995,Open Ended Schemes,Income/Debt Oriented Schemes - Medium Term Fund
100078,DSP Mutual Fund,DSP Medium Term Fund - Regular Plan - Growth,INF740K01557,,Open Ended Schemes,Income/Debt Oriented Schemes - Medium Term Fund
100079,DSP Mutual Fund,DSP Medium Term Fund - Regular Plan - Monthly IDCW,INF740K01573,INF740K01AA1,Open Ended Schemes,Income/Debt Oriented Schemes - Medium Term Fund
100080,DSP Mutual Fund,DSP Flexi Cap Fund - Regular Plan - IDCW,INF740K01011,INF740K01029,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
100081,DSP Mutual Fund,DSP Aggressive Hybrid Fund - Regular Plan - Growth,INF740K01318,,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund
100082,DSP Mutual Fund,DSP Aggressive Hybrid Fund - Regular Plan - IDCW,INF740K01326,INF740K01334,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund
100084,DSP Mutual Fund,DSP Gilt Fund - Regular Plan - Growth,INF740K01615,,Open Ended Schemes,Debt Scheme - Gilt Fund
100085,DSP Mutual Fund,DSP Gilt Fund - Regular Plan - IDCW,INF740K01607,INF740K01AD5,Open Ended Schemes,Debt Scheme - Gilt Fund
100086,DSP Mutual Fund,DSP Gilt Fund - Regular Plan - Monthly IDCW,INF740K01623,INF740K01AE3,Open Ended Schemes,Debt Scheme - Gilt Fund
100087,DSP Mutual Fund,DSP Money Market Fund - Regular Plan - Growth,INF740K01714,,Open Ended Schemes,Income/Debt Oriented Schemes - Money Market Fund
100088,DSP Mutual Fund,DSP Money Market Fund - Regular Plan - IDCW,INF740K01706,INF740K01AJ2,Open Ended Schemes,Income/Debt Oriented Schemes - Money Market Fund
100089,DSP Mutual Fund,DSP Money Market Fund - Regular Plan - Monthly IDCW,INF740K01722,INF740K01AK0,Open Ended Schemes,Income/Debt Oriented Schemes - Money Market Fund
100090,DSP Mutual Fund,DSP BlackRock Technology.com   Fund - Regular Plan - Growth,,,Open Ended Schemes,Income
100119,HDFC Mutual Fund,HDFC Balanced Advantage Fund - Regular Plan - Growth Option,INF179K01830,,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage
100120,HDFC Mutual Fund,HDFC Balanced Advantage Fund - Regular Plan - IDCW Option,INF179K01814,INF179K01822,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage
100121,HDFC Mutual Fund,HDFC Balanced Fund - Dividend Option,,,Open Ended Schemes,Income
100122,HDFC Mutual Fund,HDFC Balanced Fund - Growth Option,,,Open Ended Schemes,Income
100123,HDFC Mutual Fund,HDFC Medium to Long Term Fund - Regular Plan - Quarterly IDCW Option,INF179K01947,INF179K01954,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund
100124,HDFC Mutual Fund,HDFC Medium to Long Term Fund - Regular Plan - Growth Option,INF179K01962,,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund
100136,PRINCIPAL Mutual Fund,Principal Deposit Fund-Plan 54EA/EB-Plan 54EA /EB,,,Open Ended Schemes,Income
100150,PRINCIPAL Mutual Fund,Principal Child Benefit Fund-Super Saver-Future Guard Plan,,,Open Ended Schemes,Income
100151,PRINCIPAL Mutual Fund,Principal Retail Equity Savings Fund - Growth Option,,,Open Ended Schemes,Income
100152,Principal Mutual Fund,Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,,,Open Ended Schemes,Other Scheme - Index Funds
100153,Principal Mutual Fund,Principal Nifty 100 Equal Weight Fund-Growth,,,Open Ended Schemes,Other Scheme - Index Funds
100154,PRINCIPAL Mutual Fund,Principal Equity Fund-Dividend,,,Open Ended Schemes,Income
100155,PRINCIPAL Mutual Fund,Principal Equity Fund-Growth,,,Open Ended Schemes,Income
100156,Principal Mutual Fund,Principal Tax Savings Fund,,,Open Ended Schemes,Equity Scheme - ELSS
100171,quant Mutual Fund,Quant Dynamic Bond-Dividend,,,Open Ended Schemes,Debt Scheme - Dynamic Bond
100172,quant Mutual Fund,Quant Dynamic Bond-Growth,,,Open Ended Schemes,Debt Scheme - Dynamic Bond
100173,quant Mutual Fund,Quant Dynamic Bond-Bonus,,,Open Ended Schemes,Debt Scheme - Dynamic Bond
100174,quant Mutual Fund,Quant ELSS Tax Saver Fund - Regular Plan - IDCW Option,INF966L01119,,Open Ended Schemes,Equity Scheme - ELSS
100175,quant Mutual Fund,Quant ELSS Tax Saver Fund - Regular Plan - Growth Option,INF966L01135,,Open Ended Schemes,Equity Scheme - ELSS
100176,quant Mutual Fund,Quant Small Cap Fund - Regular Plan - IDCW Option,INF206A01022,INF966L01044,Open Ended Schemes,Equity Scheme - Small Cap Fund
100177,quant Mutual Fund,Quant Small Cap Fund - Regular Plan - Growth Option,INF966L01AA0,,Open Ended Schemes,Equity Scheme - Small Cap Fund
100178,ING Mutual Fund,ING Income Fund-Regular Plan -Dividend Option (Quarterly),,,Open Ended Schemes,Income
100179,ING Mutual Fund,ING Income Fund-Regular Plan -Dividend Option (Half Yearly),,,Open Ended Schemes,Income
100180,ING Mutual Fund,ING Income Fund- Regular Plan - Dividend Option (Annual),,,Open Ended Schemes,Income
100181,ING Mutual Fund,ING Income Fund-Regular Plan -Growth Option,,,Open Ended Schemes,Income
100182,ING Mutual Fund,ING Income Fund-Institutional Plan - Dividend Option (Half Yearly),,,Open Ended Schemes,Income
100183,ING Mutual Fund,ING Income Fund-Institutional Plan - Dividend Option (Quarterly),,,Open Ended Schemes,Income
100184,ING Mutual Fund,ING Income Fund-Institutional Plan -Dividend Option (Annual),,,Open Ended Schemes,Income
100185,ING Mutual Fund,ING Income Fund-Bonus Option,,,Open Ended Schemes,Income
100186,ING Mutual Fund,ING Income Fund-Institutional Bonus Option,,,Open Ended Schemes,Income
100187,ING Mutual Fund,ING Income Fund-Institutional Plan - Growth Option,,,Open Ended Schemes,Income
100188,ING Mutual Fund,ING Core Equity Fund-Dividend Option,,,Open Ended Schemes,Income
100189,ING Mutual Fund,ING Core Equity Fund-Growth Option,,,Open Ended Schemes,Income
100190,ING Mutual Fund,ING Liquid Fund-Regular Growth Option,,,Open Ended Schemes,Income
100191,ING Mutual Fund,ING Liquid Fund-Regular Weekly Dividend Option,,,Open Ended Schemes,Income
100192,ING Mutual Fund,ING Liquid Fund-Regular Daily Dividend Option,,,Open Ended Schemes,Income
100194,ING Mutual Fund,ING Liquid Fund-Auto Sweep Growth Option,,,Open Ended Schemes,Income
100195,ING Mutual Fund,ING Liquid Fund-Auto Sweep Weekly Dividend Option,,,Open Ended Schemes,Income
100196,ING Mutual Fund,ING Liquid Fund-Institutional Growth Option,,,Open Ended Schemes,Income
100197,ING Mutual Fund,ING Liquid Fund-Institutional Weekly Dividend Option,,,Open Ended Schemes,Income
100198,ING Mutual Fund,ING Liquid Fund-Institutional Daily Dividend Option,,,Open Ended Schemes,Income
100199,ING Mutual Fund,ING Liquid Fund-Super Institutional Growth Option,,,Open Ended Schemes,Income
100200,ING Mutual Fund,ING Liquid Fund-Super Institutional Daily Dividend Option,,,Open Ended Schemes,Income
100201,ING Mutual Fund,ING Liquid Fund-Super Institutional Weekly Dividend Option,,,Open Ended Schemes,Income
100202,ING Mutual Fund,ING Balanced Fund-Dividend Option,,,Open Ended Schemes,Income
100203,ING Mutual Fund,ING Balanced Fund-Growth Option,,,Open Ended Schemes,Income
100218,JM Financial Mutual Fund,JM Large Cap Fund - Regular Plan - IDCW Option,INF192K01585,INF192K01593,Open Ended Schemes,Equity Schemes - Large Cap Fund
100219,JM Financial Mutual Fund,JM Large Cap Fund - Regular Plan - Growth Option,INF192K01601,,Open Ended Schemes,Equity Schemes - Large Cap Fund
100220,JM Financial Mutual Fund,JM Aggressive Hybrid Fund - Regular Plan - IDCW Option,INF192K01528,INF192K01536,Open Ended Schemes,Hybrid Schemes - Aggressive Hybrid Fund
100221,JM Financial Mutual Fund,JM Aggressive Hybrid Fund - Regular Plan - Growth Option,INF192K01544,,Open Ended Schemes,Hybrid Schemes - Aggressive Hybrid Fund
100222,JM Financial Mutual Fund,JM Medium to Long Term Fund - Regular Plan - Quarterly IDCW Option,INF192K01999,INF192K01AA5,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund
100223,JM Financial Mutual Fund,JM Medium to Long Term Fund - Regular Plan - Growth Option,INF192K01AB3,,Open Ended Schemes,Income/Debt Oriented Schemes - Medium to Long Term Fund
100233,JM Financial Mutual Fund,JM Liquid Fund - Regular Plan - Weekly IDCW Option,INF192K01841,INF192K01858,Open Ended Schemes,Income/Debt Oriented Schemes - Liquid Fund
100234,JM Financial Mutual Fund,JM Liquid Fund - Regular Plan - Growth Option,INF192K01882,,Open Ended Schemes,Income/Debt Oriented Schemes - Liquid Fund
100237,JM Financial Mutual Fund,JM High Liquidity Fund-- Institutional Plan - Growth,,,119416;INF955L01AN6;-;BARODA PIONEER LIQUID FUND - PLAN B,DIRECT
100238,JM Financial Mutual Fund,JM High Liquidity Fund-Institutional Plan - Daily Dividend,,,119416;INF955L01AN6;-;BARODA PIONEER LIQUID FUND - PLAN B,DIRECT
100241,JM Financial Mutual Fund,JM High Liquidity Fund-- Institutional Plan - Dividend,,,119416;INF955L01AN6;-;BARODA PIONEER LIQUID FUND - PLAN B,DIRECT
100243,JM Financial Mutual Fund,JM High Liquidity Fund-- Premium Plan - Daily Dividend Option,,,Open Ended Schemes,Income
100244,JM Financial Mutual Fund,JM Liquid Fund - Regular Plan - Quarterly IDCW Option,INF192K01866,INF192K01874,Open Ended Schemes,Income/Debt Oriented Schemes - Liquid Fund
100245,JM Financial Mutual Fund,JM High Liquidity Fund-Super Institutional Plan- Daily Dividend,,,119416;INF955L01AN6;-;BARODA PIONEER LIQUID FUND - PLAN B,DIRECT
100246,JM Financial Mutual Fund,JM High Liquidity Fund-Super Institutional Plan- Weekly  Dividend,,,119416;INF955L01AN6;-;BARODA PIONEER LIQUID FUND - PLAN B,DIRECT
100247,JM Financial Mutual Fund,JM Liquid Fund - Regular Plan - Super Institutional Plan - Growth Option,INF192K01981,,Open Ended Schemes,Income/Debt Oriented Schemes - Liquid Fund
100249,JM Financial Mutual Fund,JM G-Sec Fund - Quarterly Dividend Option,,,Open Ended Schemes,Debt Scheme - Gilt Fund
100250,JM Financial Mutual Fund,JM G-Sec Fund - Growth Option,,,Open Ended Schemes,Debt Scheme - Gilt Fund
100251,JM Financial Mutual Fund,JM G-Sec Fund-PF Plan - Growth Plan,,,Open Ended Schemes,Income
100252,JM Financial Mutual Fund,JM G-Sec Fund-PF Plan -Dividend Plan,,,Open Ended Schemes,Income
100253,JM Financial Mutual Fund,JM G-Sec Fund - Bonus Option - Principal Units,,,Open Ended Schemes,Debt Scheme - Gilt Fund
100254,JM Financial Mutual Fund,JM Value Fund - Regular Plan - Growth Option,INF137A01037,,Open Ended Schemes,Equity Schemes - Value Fund
100261,Kotak Mahindra Mutual Fund,Kotak Gilt-Savings-Monthly Dividend,,,Open Ended Schemes,Income
100262,Kotak Mahindra Mutual Fund,Kotak Gilt-Savings-Growth,,,Open Ended Schemes,Income
100263,Kotak Mahindra Mutual Fund,Kotak Gilt-Savings-Annual Dividend,,,Open Ended Schemes,Income
100264,Kotak Mahindra Mutual Fund,Kotak Gilt Fund - Regular Plan - Payout of Income Distribution cum capital withdrawal option,INF174K01FK1,INF174K01FJ3,Open Ended Schemes,Debt Scheme - Gilt Fund
