SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category,SchemeNameCleaned,SchemeMinimumAmount,LaunchDate,ClosureDate
100033,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund,5000,24-Feb-1995,24-Feb-1995
100034,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,INF209K01157,INF209K01CE5,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund,5000,24-Feb-1995,24-Feb-1995
119433,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Large & Mid Cap Fund -Direct - IDCW,INF209K01VG0,INF209K01VI6,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund,5000,24-Feb-1995,24-Feb-1995
119436,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,INF209K01VH8,,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund,5000,24-Feb-1995,24-Feb-1995
100037,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund - Regular - Quarterly IDCW,INF209K01587,INF209K01CY3,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
100038,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund - Growth - Regular Plan,INF209K01579,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
100039,Aditya Birla Sun Life AMC Limited,Birla Income Plus-Institutional (Growth),,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
100040,Aditya Birla Sun Life AMC Limited,Birla Income Plus-Institutional (Dividend),,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
133445,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund - Regular - IDCW,INF209KA1WJ6,INF209KA1WK4,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
133446,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund - Direct - IDCW,INF209KA1WL2,INF209KA1WM0,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
111777,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Medium to Long Term Fund (Discipline Advantage Plan),INF209K01LD8,,Open Ended,Income/Debt Oriented Schemes - Medium to Long Term Fund,Aditya Birla Sun Life Medium to Long Term Fund,5000,01-Jan-1994,01-Jan-1994
